Willow's Reef Aquatics,,,,,,,,,,,,,,,,,,,,,,,,,
Aquarium Plants,,,,,,,,,,,,,,,,,,,,,,,,,
DEADLINE FOR ORDERS:,,,,,,,,,,,,,,,,,,,,,,,,,
*Bulk pricing applies to quantities of 12 or more units,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Last Updated: 11/7/2016,,,,,,,,,,,,,,,,,,,,,,
PRODUCT NUMBER,DESCRIPTION,NAME,RETAIL PRICE/UNIT,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - YELLOW,Texas Dawn (M),$17.94 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - YELLOW,Sulphurea Okeechobee,$14.48 ,,,,,,,,,,,,,,,,,,,,,,
,lilies - hardy - blue/green,Moonbeam (M),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES -HARDY - PURPLE,Alexis (M),$25.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES -HARDY - PURPLE,Islamorada (M),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES -HARDY - PURPLE,King of Siam (M),$25.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES -HARDY - PURPLE,Lindsey Woods (M),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES -HARDY - PURPLE,Midnight,$25.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES -HARDY - PURPLE,Panama Pacific (M),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES -HARDY - PURPLE,Rhonda Kay,$25.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES -HARDY - PURPLE,Tina (M),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - RED,Bull's Eye (M),$33.10 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - RED,Tropic Punch,$33.10 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - RED,Ruby (M),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - RED,Valentine,$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - RED,"Taro, Black Magic",$5.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - RED,"Taro, Green",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - RED,"Taro, Imperial",$5.52 ,,,,,,,,,,,,,,,,,,,,,,
